Contract Name;Strike;Last Price;Bid;Ask;Change;Volume;Open Interest
AAPL261218C00005000;5;264.64;267.5;271.3;0;1;2
AAPL261218C00010000;10;245.23;251;254.85;0;10;15
AAPL261218C00015000;15;186.06;238.95;242.35;0;4;5
AAPL261218C00020000;20;240.8;255.65;259.55;0;1;5
AAPL261218C00025000;25;184.65;229.35;232.75;0;1;2
AAPL261218C00030000;30;199.1;224.7;227.9;0;2;10
AAPL261218C00035000;35;146.2;162.8;166.55;0;1;3
AAPL261218C00040000;40;161.68;160.5;164.55;0;3;5
AAPL261218C00045000;45;156.53;155.9;159.8;0;1;57
AAPL261218C00050000;50;225.28;224.4;227.5;0;10;1,992
AAPL261218C00060000;60;212.68;214.15;217.95;0;3;279
AAPL261218C00070000;70;203;216.85;220.5;0;2;2,524
AAPL261218C00080000;80;202;195.35;198.75;0;4;398
AAPL261218C00085000;85;197.23;190.75;193.8;0;37;652
AAPL261218C00090000;90;186.88;185.75;189.15;0;2;476
AAPL261218C00095000;95;187.67;180.95;184.3;0;1;101
AAPL261218C00100000;100;176.08;176.45;179.45;0;2;3,198
AAPL261218C00105000;105;168.76;172;174.75;0;1;176
AAPL261218C00110000;110;167.7;167.25;170.05;0;8;476
AAPL261218C00115000;115;167.45;162.5;165.2;0;4;293
AAPL261218C00120000;120;154.16;157.95;160.5;0;13;1,345
AAPL261218C00125000;125;151.45;153;155.8;0;1;423
AAPL261218C00130000;130;153.55;148.45;151;0;35;1,422
AAPL261218C00135000;135;141.94;142.75;146.2;0;101;705
AAPL261218C00140000;140;145.5;139.15;141.5;0;2;1,065
AAPL261218C00145000;145;139.21;134.2;137;0;1;480
AAPL261218C00150000;150;129.96;129.5;132.25;0;2;498
AAPL261218C00155000;155;123.68;124.9;127.7;0;3;305
AAPL261218C00160000;160;121.56;121;122.4;-0.21;3;1,010
AAPL261218C00165000;165;113.88;115.7;118.55;0;1;488
AAPL261218C00170000;170;108.43;111.5;113.25;0;1;1,118
AAPL261218C00175000;175;107.5;106.8;108.5;0.97;15;847
AAPL261218C00180000;180;104.05;102.9;103.6;0;2;990
AAPL261218C00185000;185;96.6;98.4;99.2;0;33;1,306
AAPL261218C00190000;190;91.34;93.7;94.7;0;1;992
AAPL261218C00195000;195;90.43;89.35;90.35;0;100;1,136
AAPL261218C00200000;200;86.85;85.5;86.1;0;4;23,737
AAPL261218C00205000;205;81.05;80.8;81.85;0;1;9
AAPL261218C00210000;210;76.85;77.1;77.65;0;4;5,899
AAPL261218C00215000;215;72.95;72.75;73.8;0;10;24
AAPL261218C00220000;220;70.18;69.15;69.65;0;1;3,532
AAPL261218C00225000;225;64.49;65.15;65.8;0;1;32
AAPL261218C00230000;230;61.63;61.35;61.8;0.21;1;5,179
AAPL261218C00235000;235;56.45;57.5;58.2;0;2;22
AAPL261218C00240000;240;54.25;54;54.45;0;4;6,039
AAPL261218C00245000;245;50.3;50.4;51;0;1;76
AAPL261218C00250000;250;47.71;46.95;47.3;0.28;3;9,771
AAPL261218C00255000;255;42.15;43.75;44.25;0;1;33
AAPL261218C00260000;260;41.09;40.5;40.85;0.56;1;4,422
AAPL261218C00265000;265;35.79;37.05;37.9;0;5;45
AAPL261218C00270000;270;34.85;34.45;34.85;0;22;5,664
AAPL261218C00275000;275;31.6;31.6;32.25;0;11;135
AAPL261218C00280000;280;29.75;29.15;29.3;0;18;4,064
AAPL261218C00285000;285;26.18;26.65;26.8;0;2;84
AAPL261218C00290000;290;25.05;24.3;24.45;0;35;8,420
AAPL261218C00295000;295;22.7;22.1;22.3;0;1;77
AAPL261218C00300000;300;20.55;20.05;20.2;0;75;9,574
AAPL261218C00305000;305;17.17;18.05;18.25;0;1;53
AAPL261218C00310000;310;16.9;16.3;16.45;0;28;3,584
AAPL261218C00315000;315;15.23;14.7;14.9;0;17;1,108
AAPL261218C00320000;320;13.25;13.2;13.35;-0.26;3;9,267
AAPL261218C00325000;325;12;11.8;11.95;0;8;1,039
AAPL261218C00330000;330;10.67;10.6;10.7;0;52;2,119
AAPL261218C00335000;335;9.1;9.5;9.65;0;45;47
AAPL261218C00340000;340;8.82;8.5;8.65;0;3;1,300
AAPL261218C00345000;345;7.55;7.55;7.7;0;1;16
AAPL261218C00350000;350;6.82;6.8;6.9;-0.18;1;7,773
AAPL261218C00360000;360;5.53;5.4;5.55;-0.05;3;2,478
AAPL261218C00370000;370;4.55;4.3;4.4;0;11;2,513
AAPL261218C00380000;380;3.45;3.45;3.55;0;1;1,267
AAPL261218C00390000;390;2.83;2.79;2.84;0;5;260
AAPL261218C00400000;400;2.31;2.26;2.3;0;10;756
AAPL261218C00410000;410;1.84;1.82;1.88;0.01;30;430
AAPL261218C00420000;420;1.44;1.49;1.53;0;1;582
AAPL261218C00430000;430;1.19;1.22;1.26;0;1;359
AAPL261218C00440000;440;1.03;1;1.05;0;1;165
AAPL261218C00450000;450;0.84;0.84;0.88;0;5;1,595
AAPL261218C00460000;460;0.94;0.7;0.74;0;8;20
AAPL261218C00470000;470;0.96;0.58;0.63;0;1;18
AAPL261218C00480000;480;0.54;0.49;0.54;0;1;75
AAPL261218C00490000;490;0.51;0.43;0.47;0;1;42
AAPL261218C00500000;500;0.4;0.36;0.4;0;6;223
AAPL261218C00510000;510;0.4;0.31;0.35;0;5;26
AAPL261218C00520000;520;0.3;0.27;0.31;0;100;305
AAPL261218C00530000;530;0.26;0.23;0.27;0;;
